x,Q2,y,SE,JB,DA,SIG,ESIG
0.00501187,199.526,2.01064,0,0,0,0,0
0.00501187,316.228,3.18665,0,0,0,0,0
0.00501187,501.187,5.05051,0,0,0,0,0
0.00501187,794.328,8.00451,0,0,0,0,0
0.00501187,1258.93,12.6863,0,0,0,0,0
0.00501187,1995.26,20.1064,0,0,0,0,0
0.00501187,3162.28,31.8665,0,0,0,0,0
0.00501187,5011.87,50.5051,0,0,0,0,0
0.00501187,7943.28,80.0451,0,0,0,0,0
0.00794328,1.25893,0.00800451,58.4031,25.6636,35.2308,36.1602,46.9589
0.00794328,1.99526,0.0126863,60.0695,23.8185,34.6753,31.7414,40.4972
0.00794328,3.16228,0.0201064,57.1368,23.4561,34.1114,27.057,31.0998
0.00794328,5.01187,0.0318665,56.6804,23.59,33.174,26.6855,28.1095
0.00794328,7.94328,0.0505051,48.6769,22.7677,31.1244,24.8792,24.9486
0.00794328,12.5893,0.0800451,32.7704,22.2437,29.2891,24.4812,24.3611
0.00794328,19.9526,0.126863,19.4054,21.8319,27.0399,23.5954,24.5319
0.00794328,31.6228,0.201064,14.4423,25.5144,25.094,32.6277,34.6291
0.00794328,50.1187,0.318665,10.9695,32.2022,32.7958,46.6472,24.5359
0.00794328,79.4328,0.505051,7.9809,44.9887,31.8344,29.8005,15.6239
0.00794328,125.893,0.800451,3.03119,29.7674,15.4271,13.1888,20.6534
0.00794328,199.526,1.26863,0.262693,30.2013,6.70958,4.84846,28.9529
0.00794328,316.228,2.01064,0,0,0,0,0
0.00794328,501.187,3.18665,0,0,0,0,0
0.00794328,794.328,5.05051,0,0,0,0,0
0.00794328,1258.93,8.00451,0,0,0,0,0
0.00794328,1995.26,12.6863,0,0,0,0,0
0.00794328,3162.28,20.1064,0,0,0,0,0
0.00794328,5011.87,31.8665,0,0,0,0,0
0.00794328,7943.28,50.5051,0,0,0,0,0
0.0125893,1.25893,0.00505051,55.4585,28.2009,36.4147,37.7628,47.2498
0.0125893,1.99526,0.00800451,62.9655,25.7905,35.4365,33.3456,40.8761
0.0125893,3.16228,0.0126863,57.3319,24.2375,33.7975,27.8291,30.818
0.0125893,5.01187,0.0201064,55.7742,21.7967,31.9983,24.878,26.0859
0.0125893,7.94328,0.0318665,53.7319,22.6094,30.9544,25.8876,27.8537
0.0125893,12.5893,0.0505051,43.6095,22.0264,28.8257,23.7205,24.596
0.0125893,19.9526,0.0800451,27.9044,22.2536,26.3052,24.2485,24.4132
0.0125893,31.6228,0.126863,17.6405,25.3169,24.6958,26.5426,34.942
0.0125893,50.1187,0.201064,14.7,22.5013,19.7778,28.2724,41.6913
0.0125893,79.4328,0.318665,10.1593,34.6715,29.4999,44.4404,24.8924
0.0125893,125.893,0.505051,9.46856,44.4119,31.2462,29.8884,15.9016
0.0125893,199.526,0.800451,2.6054,31.1107,14.8967,13.9085,21.2757
0.0125893,316.228,1.26863,0.196188,32.4779,5.35446,3.59711,29.3773
0.0125893,501.187,2.01064,0,0,0,0,0
0.0125893,794.328,3.18665,0,0,0,0,0
0.0125893,1258.93,5.05051,0,0,0,0,0
0.0125893,1995.26,8.00451,0,0,0,0,0
0.0125893,3162.28,12.6863,0,0,0,0,0
0.0125893,5011.87,20.1064,0,0,0,0,0
0.0125893,7943.28,31.8665,0,0,0,0,0
0.0199526,1.25893,0.00318665,46.4529,34.1605,37.716,41.2944,48.6569
0.0199526,1.99526,0.00505051,63.7969,29.8027,37.4021,36.5685,43.3677
0.0199526,3.16228,0.00800451,55.5474,26.8509,32.9927,30.0992,33.2001
0.0199526,5.01187,0.0126863,55.4135,23.7498,31.6268,26.8804,29.1329
0.0199526,7.94328,0.0201064,54.3824,21.183,29.9225,23.3685,24.0262
0.0199526,12.5893,0.0318665,50.9035,21.6492,27.608,23.8264,23.9532
0.0199526,19.9526,0.0505051,38.1148,21.3683,25.6483,22.965,23.3688
0.0199526,31.6228,0.0800451,23.7054,24.7646,23.6214,26.5691,26.6548
0.0199526,50.1187,0.126863,17.017,22.6071,20.1761,23.1094,37.2128
0.0199526,79.4328,0.201064,10.8823,23.3269,18.2634,29.9471,41.8189
0.0199526,125.893,0.318665,12.3409,31.3148,27.2263,46.2309,26.1617
0.0199526,199.526,0.505051,6.77093,44.5236,30.0616,29.3306,14.1549
0.0199526,316.228,0.800451,2.62261,31.4277,15.0011,14.356,22.055
0.0199526,501.187,1.26863,0.718264,31.1026,4.40505,4.62994,28.2765
0.0199526,794.328,2.01064,0,0,0,0,0
0.0199526,1258.93,3.18665,0,0,0,0,0
0.0199526,1995.26,5.05051,0,0,0,0,0
0.0199526,3162.28,8.00451,0,0,0,0,0
0.0199526,5011.87,12.6863,0,0,0,0,0
0.0199526,7943.28,20.1064,0,0,0,0,0
0.0316228,1.25893,0.00201064,67.703,40.5872,39.7626,44.7297,49.0886
0.0316228,1.99526,0.00318665,57.249,35.9808,37.3369,40.2068,44.8605
0.0316228,3.16228,0.00505051,54.6459,31.2135,35.3408,33.6048,36.1419
0.0316228,5.01187,0.00800451,61.3764,26.227,32.9108,28.2371,30.2833
0.0316228,7.94328,0.0126863,57.9304,22.2364,31.1723,24.297,25.4986
0.0316228,12.5893,0.0201064,55.2599,21.3355,26.9805,23.4603,24.0293
0.0316228,19.9526,0.0318665,47.5815,21.1483,24.2026,23.0638,23.2991
0.0316228,31.6228,0.0505051,31.8582,22.4622,23.1114,24.1322,24.1052
0.0316228,50.1187,0.0800451,19.864,23.3647,19.1854,25.0676,25.1565
0.0316228,79.4328,0.126863,15.396,23.7278,16.9045,23.4819,37.7536
0.0316228,125.893,0.201064,13.5969,23.6252,15.7332,26.8564,42.5196
0.0316228,199.526,0.318665,11.8684,31.0595,26.2884,45.8721,25.3132
0.0316228,316.228,0.505051,5.23593,44.6875,29.9572,29.5837,14.5938
0.0316228,501.187,0.800451,2.70778,30.9842,14.2364,14.1926,21.3742
0.0316228,794.328,1.26863,0.28662,32.3859,5.28378,6.13041,31.1648
0.0316228,1258.93,2.01064,0,0,0,0,0
0.0316228,1995.26,3.18665,0,0,0,0,0
0.0316228,3162.28,5.05051,0,0,0,0,0
0.0316228,5011.87,8.00451,0,0,0,0,0
0.0316228,7943.28,12.6863,0,0,0,0,0
0.0501187,1.25893,0.00126863,48.7069,46.6324,37.89,48.2208,49.9972
0.0501187,1.99526,0.00201064,47.2066,43.2776,38.0216,44.8711,47.0913
0.0501187,3.16228,0.00318665,59.3127,37.8657,35.7022,39.2478,41.1876
0.0501187,5.01187,0.00505051,56.6401,31.984,34.6228,33.8855,35.648
0.0501187,7.94328,0.00800451,57.1069,27.4042,29.5101,29.4052,30.579
0.0501187,12.5893,0.0126863,56.8418,24.8079,27.5914,26.6923,27.2407
0.0501187,19.9526,0.0201064,52.9389,21.844,24.2549,24.1492,24.8345
0.0501187,31.6228,0.0318665,42.574,20.7814,20.7385,22.634,23.3361
0.0501187,50.1187,0.0505051,27.9727,20.9486,17.481,22.3308,22.7324
0.0501187,79.4328,0.0800451,21.1011,23.4743,15.0179,24.1392,25.1605
0.0501187,125.893,0.126863,15.3162,24.2076,14.6943,24.2403,37.3347
